,name
501,casesofmalignanttumoursregisteredinkingfaisalspecialisthospitalandresearchcenter1439h2018g
502,oral-surgery-and-teeth-extraction-in-moh-by-region-1439h-2018g
503,deliveries-in-the-private-sector-by-region-and-type-of-delivery-1439h-2018g
504,deliveries-in-other-governmental-sector-hospitals-by-type-of-delivery-1439-h-2018g
505,inpatients-in-private-sector-hospitals-by-region-and-nationality-1439h-2018g
506,some-selected-indicators-of-moh-hospital-services-50-beds-by-region-1439h-2018g
507,some-selected-indicators-of-moh-hospital-services-100-beds-by-region-1439h-2018g
508,inpatients-of-moh-hospitals-by-region-and-nationality-1439h-2018g
509,visits-to-diabetic-clinics-moh-hospitals-by-sex-nationality-and-region-1439h-2018g
510,patientsandcasualtiesofferedfirstaidandcarriedbysaudiredcrescentauthorityambulances1439h2018g
511,first-aid-centers-and-ambulances-of-the-saudi-red-crescent-authority-by-region-1439h-2018g
512,surgical-emergency-visits-in-the-moh-hospitals-by-sex-nationality-and-region-1439h-2018g
513,medical-emergency-visits-in-the-moh-hospitals-by-sex-nationality-and-region-1439h-2018g
514,number-of-residential-complexes-and-units-in-moh-2017g-1438h
515,notified-malaria-cases-in-endemic-zones-by-age-group-2017g-1438h-ksa
516,reported-cases-of-cutaneous-leishmaniasis-by-month-nationality-sex-residence-and-age-group-ksa
517,2016-2017-1437-1438
518,2017-1438
519,food-borne-outbreaks-2020
520,budget-appropriations-for-social-service
521,1422-1431
522,social-development-centers-and-social-services-centers-1413-1434-a-h
523,social-houses-of-ministry-of-social-affairs-by-house-1420-1433-h
524,cooperative-societies-in-the-kingdom-by-type-and-region1419-1434
525,1419-1434
526,end-work-the-years-1436-1438-ah
527,number-of-beneficiaries-of-social-security-agency-from-1435-to-1441
528,scholarship-data-for-1437-1441
529,government-job-advertisements-for-the-years-1436-1441
530,iecee-certificates-for-2019
531,saudi-standard-2018
532,saudi-standard-2019
533,energy-efficiency-certificates-for-2018
534,energy2019
535,certificates-of-conformity-for-2019
536,salaries-scales-for-civil-servants
537,civil-service-budget-2010-2019
538,scholarship-data-for-government-employees
539,macroeconomic-and-financial-data
540,foodborne-outbreak
541,official-map-of-the-kingdom-of-saudi-arabia
542,vegetable-exports-tons-by-plant-category-during-the-first-half-of-2020
543,the-number-of-water-subscribers-by-region-until-the-end-of-the-first-half-of-the-year-2020
544,number-of-household-connections-for-water-until-the-end-of-the-first-half-of-2020
545,preparation-of-household-sewage-connections-until-the-end-of-the-first-half-of-2020
546,length-of-sewage-networks-until-the-end-of-the-first-half-of-2020
547,lengths-of-water-networks-until-the-end-of-the-first-half-of-2020
548,official-ksa-map
549,consolidated-balance-sheet-unaudited-for-the-years-2016-to-2018-aps-shareholder-equity-sr-million
550,number-of-inspection-visitstasks-carried-out-by-cma-by-type
551,number-of-public-offer-investment-funds-by-type-of-investment
552,reviewed-quarterly-financial-statements-of-listed-companies-with-qualifiedunqualified-audit-opinions
553,finalized-cml-violation-cases-classified-by-type
554,number-of-authorization-decisions-by-type
555,number-of-aps-classified-by-possession-of-business-commencement-letter
556,number-of-valid-licenses-of-securities-business-activities-by-business-commencement-status
